Division	Country	IC # 	IC Name / Name of Investment Center	PSP	Project Description	Project on RDA Yes / No	Type/Nature	Business Responsible	Legal Responsible	Finance Responsible	Case number	Claimant	Respondent of Claim	Counter Party's Relation to Implenia	Status of the Proceeding	Subject matter	Currency	"Value in dispute /
Claim volume       Claim by Implenia (+) / aganist Implenia (-)"	Our share %	"Value in dispute /
Claim volume based on our share"	"Real Case:"	Considered amount in our accounting	"Opportunities (+) /
Risks (-)"	Accumulated legal costs (expensed)	Expected legal costs (not yet expensed)	Accumulated court costs (expensed)	Expected court costs (not yet expensed)	Date start of proceeding	Date end of proceeding	Date relevant for interest	Interest rate	Interests
Civil RO	Romania	8374351	Name 11	64183	 Case 2347 	 no 	 Legal case by Implenia 	Peter	Jack	Mathias	223	Company K	 Name 121 	 Subcontractor 	 Bankruptcy proceedings 	Text	 CHF 	 26 	100%	 26 	0 	0 	 -   	0 	0 	0 	0 	17.12.18			0.0%	 -
Civil RO	Romania	8374351	Name 12	64183	 Case 2348 	 no 	 Legal case by Implenia 	 Max 	 Nick 	 Heinz 	224	Company L	 Name 122 	 Subcontractor 	 Bankruptcy proceedings 	Text	 CHF 	 26 	100%	 26 	0 	0 	 -   	0 	0 	0 	0 	21.11.18			0.0%	 -
Real Estate	Switzerland	8374351	Name 13	64183	 Case 2349 	 No 	 Legal case against Implenia 	 Heidi 	 Stella 	 Rene 	225	Company M	 Name 123 	 Client 	 Second Instance - Exchange of briefs 	Text	 CHF 	 -   	100%	 -   	-352 	-352 	 -   	0 	0 	-30 	0 				0.0%	 -
Real Estate	Switzerland	8374351	Name 14	64183	 Case 2350 	 No 	 Legal case by Implenia 	 Frack 	 Luna 	 Simon 	226	Company N	 Name 124 	 Authorities 	 Conciliation / ADR proceedings 	Text	 CHF 	 -   	100%	 -   	0 	0 	 -   	-5 	-10 	0 	0 				0.0%	 -
SF CH	Switzerland	8374351	Name 15	64183	 Case 2351 	 No 	 Legal case against Implenia 	 Hans 	 Meike 	 Marcel 	227	Company O	 Name 125 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -645 	100%	 -645 	0 	0 	 -   	-24 	-16 	0 	0 	21.12.22			0.0%	 -
SF DE	Germany	8374351	Name 16	64183	 Case 2352 	 No 	 Legal case by Implenia 	 Werner 	 Kerstin 	 Christian 	228	Company P	 Name 126 	 Client 	 First Instance - Court deliberation 	Text	 CHF 	 6'109 	100%	 6'109 	3'237 	3'237 	 -   	-189 	-39 	0 	0 	12.08.19			0.0%	 -
SF DE	Germany	8374351	Name 17	64183	 Case 2353 	 No 	 Legal case against Implenia 	 Alexander 	 Ludwig 	 Peter 	229	Company Q	 Name 127 	 Client 	 First Instance - Court deliberation 	Text	 CHF 	 -13'302 	100%	 -13'302 	-1'429 	-1'429 	 -   	-223 	-39 	0 	0 	18.05.18			0.0%	 -
Specialties	Germany	8374351	Name 18	289487	 Case 2354 	 No 	 Legal case by Implenia 	 Luisa 	 Hannes 	 Max 	230	Company R	 Name 128 	 Client 	 Bankruptcy proceedings 	Text	 CHF 	 1'084 	100%	 1'084 	0 	0 	 -   	0 	-38 	-22 	0 	01.10.19		01.03.19	6.0%	 -
Specialties	Germany	8374351	Name 19	289487	 Case 2355 	 No 	 Legal case by Implenia 	 Anne 	 Julien 	 Helwig 	231	Company S	 Name 129 	 Client 	 Enforcement proceedings 	Text	 CHF 	 591 	100%	 591 	217 	217 	 -   	0 	-30 	-33 	0 	01.09.18		01.09.18	6.0%	 61
TUN AT	Austria	8468	Name 20	289487	 Case 2356 	 Yes 	 Legal case by Implenia 	 Gabriella 	 Michael 	 John 	232	Company T	 Name 130 	 Supplier 	 Bankruptcy proceedings 	Text	 CHF 	 15'413 	50%	 7'707 	0 	0 	 -   	0 	0 	0 	0 				0.0%	 -
TUN AT	Austria	8468	Name 21	289487	 Case 2357 	 Yes 	 Legal case by Implenia 	Peter	Jack	Mathias	233	Company U	 Name 131 	 Supplier 	 Bankruptcy proceedings 	Text	 CHF 	 23'838 	50%	 11'919 	0 	0 	 -   	0 	0 	0 	0 				0.0%	 -
TUN CH	Switzerland	8468	Name 22	289487	 Case 2358 	 No 	 Legal case by Implenia 	 Max 	 Nick 	 Heinz 	234	Company V	 Name 132 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 8'409 	50%	 4'205 	0 	0 	 -   	-101 	-35 	-60 	-33 	16.03.22		15.01.19	5.0%	 -
TUN CH	Switzerland	8468	Name 23	289487	 Case 2158 	 No 	 Legal case against Implenia 	 Heidi 	 Stella 	 Rene 	235	Company W	 Name 133 	 Subcontractor 	 First Instance - Court deliberation 	Text	 CHF 	 -1'634 	100%	 -1'634 	0 	0 	 -   	-18 	0 	-6 	-3 	25.04.12		16.11.11	5.0%	 -
TUN DE	Germany	8468	Name 24	289487	 Case 2159 	 Yes 	 Legal case by Implenia 	 Frack 	 Luna 	 Simon 	236	Company X	 Name 134 	 Subcontractor 	 First Instance - Exchange of briefs 	Text	 CHF 	 197 	100%	 197 	99 	99 	 -   	-8 	-5 	-9 	0 	09.09.20			0.0%	 -
TUN DE	Germany	8468	Name 25	289487	 Case 2160 	 Yes 	 Legal case by Implenia 	 Hans 	 Meike 	 Marcel 	237	Company Y	 Name 135 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 1'127 	100%	 1'127 	835 	835 	 -   	-42 	-155 	-19 	0 	30.12.22			0.0%	 -
TUN FR	France	8468	Name 26	289487	 Case 2161 	 Yes 	 Legal case against Implenia 	 Werner 	 Kerstin 	 Christian 	238	Company Z	 Name 136 	 Subcontractor 	 Second Instance - Exchange of briefs 	Text	 CHF 	 -788 	25%	 -197 	-126 	-126 	 -   	0 	0 	0 	0 				0.0%	 -
TUN FR	France	8468	Name 27	289487	 Case 2162 	 Yes 	 Legal case against Implenia 	 Alexander 	 Ludwig 	 Peter 	239	Company AA	 Name 137 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -11'268 	25%	 -2'817 	0 	0 	 -   	0 	0 	0 	0 				0.0%	 -
TUN NO	Norway	12138548	Name 28	487316	 Case 2163 	 No 	 Legal case against Implenia 	 Luisa 	 Hannes 	 Max 	240	Company AB	 Name 138 	 Subcontractor 	 Conciliation / ADR proceedings 	Text	 CHF 	 -149 	100%	 -149 	0 	0 	 -   	0 	-13 	0 	0 	21.02.21		27.07.20	8.0%	 -
TUN NO	Norway	12138548	Name 29	487316	 Case 2164 	 No 	 Legal case by Implenia 	 Anne 	 Julien 	 Helwig 	241	Company AC	 Name 139 	 Subcontractor 	 Second Instance - Exchange of briefs 	Text	 CHF 	 738 	100%	 738 	387 	387 	 -   	-289 	-78 	0 	0 	26.03.21		26.03.21	8.0%	 65
TUN SE	Sweden	12138548	Name 30	487316	 Case 2165 	 No 	 Legal case by Implenia 	 Gabriella 	 Michael 	 John 	242	Company AD	 Name 140 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 2'336 	100%	 2'336 	1'083 	1'083 	 -   	-426 	-435 	0 	0 	13.04.21		12.07.18	8.0%	 416
TUN SE	Sweden	12138548	Name 31	487316	 Case 2166 	 No 	 Legal case against Implenia 	Peter	Jack	Mathias	243	Company AE	 Name 141 	 Client 	 First Instance - Exchange of briefs 	Text	 CHF 	 -6'647 	100%	 -6'647 	-2'388 	-2'388 	 -   	0 	0 	0 	0 			06.03.20	8.0%	 -602
